0,1,2
-2.141717,7.2812114,5.721205
-3.2216797,2.8720722,5.47204
11.376263,11.353878,7.3701816
8.410075,10.012617,8.157457
3.8420203,8.764125,7.478207
7.4129863,11.108692,6.847707
1.548814,7.1336775,7.04555
10.444807,9.681338,7.967746
10.950584,10.022443,7.46805
1.9694811,7.4392343,8.139135
-2.2184508,7.074781,5.006702
-3.3524432,9.126176,4.596232
9.820541,9.46194,7.414823
-3.4907792,2.6212428,4.298636
8.930111,10.615855,7.9986176
-2.9260082,3.6261888,6.507126
10.384208,11.282878,8.779696
-2.766988,9.859845,4.951458
-0.37017697,6.7729545,6.3491874
-2.2638268,1.6082754,4.5917425
10.629607,11.793175,7.706014
8.962083,12.027399,7.9206705
-2.5518172,1.6029919,4.9673815
-4.45661,2.3345578,5.6242275
8.622039,11.73634,7.0207596
0.1201065,5.1885996,6.881305
7.2772098,10.969678,8.127154
7.374689,11.217735,6.8140817
10.303907,9.398533,7.296328
-3.0789866,2.2977803,5.9193807
-0.67189586,4.7141857,5.054282
-2.5894494,9.51434,4.9659915
8.669358,10.653171,8.169582
1.9610401,7.8496146,7.8795943
-1.6057162,5.463591,5.4278517
-1.814007,7.5026264,5.8158107
9.576227,9.929517,8.384709
2.909857,7.0382457,7.5461807
12.007242,10.665896,7.013043
0.17579585,5.0202975,7.0767417
6.696242,9.030539,6.631902
2.2357247,7.931527,7.78268
-4.869845,2.1234045,6.0546727
2.10459,8.261742,8.017615
1.655979,7.0068045,6.8409767
-2.0983176,4.4782596,5.273304
11.638879,11.388034,7.5739236
-1.0597156,5.066007,5.9738607
7.533293,9.045958,6.666906
-0.46597514,4.222466,6.230417
-5.0647016,2.0652525,5.3284554
7.4705033,10.31877,8.04912
-3.907717,9.072654,4.239855
9.033311,11.549237,8.602579
9.074049,11.428219,7.2921815
2.2193482,8.151383,7.4247274
7.1456265,10.966185,6.6501255
-0.88229555,4.7250443,6.259876
-1.6022469,6.548731,5.566326
-2.8120565,2.782898,6.1850967
1.5227672,7.0002465,8.050074
-6.5078425,2.3348799,5.863484
-3.307312,3.9503684,5.4501367
8.333329,11.307477,8.092442
10.679144,10.172559,8.425974
-1.433417,5.4754834,5.857088
11.774793,11.036332,8.462383
8.584467,10.68488,6.611342
8.554039,10.675341,8.248169
-3.6422687,2.7155366,4.5575595
11.296068,9.992246,7.7940288
-1.9815985,5.8129597,5.88991
2.5838213,7.1070557,7.7342286
-3.2539814,9.240846,4.728876
-0.037585504,5.0924115,6.935741
-1.2484527,5.6348157,5.41347
6.553315,9.630559,6.847069
-2.0279264,2.1587722,4.8165584
-1.5665556,6.009689,6.5987997
9.0577755,11.089722,6.306025
-1.072418,6.8047776,6.290213
11.1851425,10.344997,6.844964
-1.083132,7.5019426,6.330313
11.150004,11.443218,8.385394
2.8339894,7.4660425,9.16567
11.215663,11.060929,7.180795
10.068709,11.172031,8.16426
10.632586,10.476829,7.070179
-3.3079927,1.879529,4.697299
-3.260278,1.6732491,4.5305905
-2.6503007,9.567107,5.1232285
-4.7830153,2.1725965,5.758177
-3.816425,9.085958,4.4772873
-1.1223818,4.0649967,6.158297
3.6529067,8.105319,7.3215876
7.5512047,10.711658,7.42182
2.9524043,7.196837,8.9216
12.256086,10.87953,7.7155457
4.7910147,9.234347,7.2183294
10.76117,10.916368,8.39462
9.2080145,11.474323,7.3459125
-1.5213338,3.684852,5.938177
4.8672705,9.157863,7.222565
-2.6638224,2.8200846,5.5522265
0.19844896,5.0798273,6.9853735
11.935317,11.198317,8.312508
11.139331,10.240448,6.8132234
-4.1424127,8.77257,4.0465574
2.563171,8.272394,7.302566
-0.9924525,4.0364285,5.1488795
5.3329997,8.920627,6.9171953
-2.8688016,9.724098,5.111131
7.0070486,10.849289,7.148575
12.10628,11.230991,7.304491
11.135234,11.392412,7.433692
4.2622104,8.701483,7.29851
-2.972799,1.3860375,5.0098276
2.3389008,6.8638134,8.10623
-4.6661615,2.257209,5.570548
-3.7892928,8.599624,4.3279257
9.256404,9.413815,7.327589
12.176286,10.582258,7.987128
5.4394994,9.667644,6.81645
-1.1077567,4.981212,6.75786
-3.25574,2.9261425,5.0289903
9.666908,11.075895,7.7978063
8.219431,10.565032,7.380852
-0.8657188,6.2529144,6.933396
4.25542,9.133679,7.249866
-2.294177,5.225944,6.192029
-3.113583,2.4914536,6.340586
-1.6453875,4.472547,5.3456836
-0.893907,4.8599305,6.5029273
-3.6063988,3.9971845,5.4842396
-0.3086304,5.3567405,6.629328
6.022987,10.076824,7.2040687
9.366784,12.024547,7.231456
2.280343,7.3711834,8.044451
-3.293344,2.8200948,5.914234
11.6881695,10.846919,8.274806
-2.463722,2.2817383,5.3560305
7.9634943,10.404814,8.091081
2.675228,7.9544277,8.05684
9.440835,10.653619,6.8878627
2.5375714,8.344688,8.567781
0.8259923,6.428055,7.0237246
9.328823,11.032229,7.829457
9.876807,11.681952,7.9603806
-6.607396,1.7923617,7.0062976
8.909421,9.028789,7.0068917
-3.2734509,2.5986845,5.1458383
-3.1317244,2.7230148,6.3487225
7.737305,11.459735,7.877468
11.0567045,10.786238,8.162662
11.924012,10.168713,8.101722
4.886407,8.6711445,7.174712
8.542354,11.702992,7.710541
-0.9118322,5.211793,6.420516
7.9241047,11.152997,6.779996
11.203334,11.261539,8.399282
-3.109514,2.6898685,5.057203
1.7248136,6.7787457,8.0653515
10.718852,11.768043,8.601435
11.867792,10.773746,8.148265
-0.13118087,6.7226634,6.2431993
-2.1111705,7.2551713,5.0604234
11.551515,10.221537,7.3357825
-2.5117586,8.11169,4.68567
-3.7049513,3.1394832,4.8820148
8.61397,10.634257,8.179038
5.3926783,9.570701,7.497186
8.816355,11.423891,6.763043
9.296759,9.890729,7.635162
-1.6039014,6.2791433,6.0716166
-0.61281335,5.144922,5.8019624
11.77843,10.201763,8.308974
8.261646,10.9566145,7.841562
10.798682,10.823923,8.532256
1.825151,7.0869565,7.366464
9.7830105,11.384958,8.24371
-0.91980076,5.924023,5.7311406
11.971859,11.079325,8.246791
-1.3847368,7.4715734,6.0463495
7.3022685,10.340591,7.166118
0.14507008,4.439584,6.4638524
1.6110275,6.6083527,7.2788568
11.863009,11.372532,8.474427
-1.4511118,7.309123,6.255624
8.484201,11.768663,6.902567
-3.8556137,1.9767941,5.0356903
8.808915,9.391574,7.0502186
9.265477,10.3147135,8.40576
10.085656,12.000019,7.530505
